Year,variable,value,Type,Powertrain,Technology,Market
2021,Sed-ICE-Hig-Private,3546.158129,Sedan,ICEV,ICEV-High,Personal
2022,Sed-ICE-Hig-Private,3494.454276,Sedan,ICEV,ICEV-High,Personal
2023,Sed-ICE-Hig-Private,3391.188692,Sedan,ICEV,ICEV-High,Personal
2024,Sed-ICE-Hig-Private,3274.049045,Sedan,ICEV,ICEV-High,Personal
2025,Sed-ICE-Hig-Private,2774.962838,Sedan,ICEV,ICEV-High,Personal
2026,Sed-ICE-Hig-Private,2674.737102,Sedan,ICEV,ICEV-High,Personal
2027,Sed-ICE-Hig-Private,2560.337541,Sedan,ICEV,ICEV-High,Personal
2028,Sed-ICE-Hig-Private,2428.818632,Sedan,ICEV,ICEV-High,Personal
2029,Sed-ICE-Hig-Private,2322.034148,Sedan,ICEV,ICEV-High,Personal
2030,Sed-ICE-Hig-Private,2200.37392,Sedan,ICEV,ICEV-High,Personal
2031,Sed-ICE-Hig-Private,2164.353307,Sedan,ICEV,ICEV-High,Personal
2032,Sed-ICE-Hig-Private,2094.426352,Sedan,ICEV,ICEV-High,Personal
2033,Sed-ICE-Hig-Private,2054.910893,Sedan,ICEV,ICEV-High,Personal
2034,Sed-ICE-Hig-Private,1980.467695,Sedan,ICEV,ICEV-High,Personal
2035,Sed-ICE-Hig-Private,2064.736517,Sedan,ICEV,ICEV-High,Personal
2036,Sed-ICE-Hig-Private,1897.060839,Sedan,ICEV,ICEV-High,Personal
2037,Sed-ICE-Hig-Private,1721.818053,Sedan,ICEV,ICEV-High,Personal
2038,Sed-ICE-Hig-Private,1545.474819,Sedan,ICEV,ICEV-High,Personal
2039,Sed-ICE-Hig-Private,1388.835704,Sedan,ICEV,ICEV-High,Personal
2040,Sed-ICE-Hig-Private,1195.801341,Sedan,ICEV,ICEV-High,Personal
2041,Sed-ICE-Hig-Private,1064.086321,Sedan,ICEV,ICEV-High,Personal
2042,Sed-ICE-Hig-Private,947.1799492,Sedan,ICEV,ICEV-High,Personal
2043,Sed-ICE-Hig-Private,830.4083477,Sedan,ICEV,ICEV-High,Personal
2044,Sed-ICE-Hig-Private,728.630742,Sedan,ICEV,ICEV-High,Personal
2045,Sed-ICE-Hig-Private,648.8831516,Sedan,ICEV,ICEV-High,Personal
2046,Sed-ICE-Hig-Private,556.1785492,Sedan,ICEV,ICEV-High,Personal
2047,Sed-ICE-Hig-Private,480.414688,Sedan,ICEV,ICEV-High,Personal
2048,Sed-ICE-Hig-Private,416.1453211,Sedan,ICEV,ICEV-High,Personal
2049,Sed-ICE-Hig-Private,358.7061081,Sedan,ICEV,ICEV-High,Personal
2050,Sed-ICE-Hig-Private,308.4081967,Sedan,ICEV,ICEV-High,Personal
2021,Sed-ICE-Avg-Private,3844.649943,Sedan,ICEV,ICEV-Avg,Personal
2022,Sed-ICE-Avg-Private,3934.870779,Sedan,ICEV,ICEV-Avg,Personal
2023,Sed-ICE-Avg-Private,3968.447833,Sedan,ICEV,ICEV-Avg,Personal
2024,Sed-ICE-Avg-Private,3916.076534,Sedan,ICEV,ICEV-Avg,Personal
2025,Sed-ICE-Avg-Private,3368.558087,Sedan,ICEV,ICEV-Avg,Personal
2026,Sed-ICE-Avg-Private,3298.584368,Sedan,ICEV,ICEV-Avg,Personal
2027,Sed-ICE-Avg-Private,3190.06094,Sedan,ICEV,ICEV-Avg,Personal
2028,Sed-ICE-Avg-Private,3060.083054,Sedan,ICEV,ICEV-Avg,Personal
2029,Sed-ICE-Avg-Private,2950.129217,Sedan,ICEV,ICEV-Avg,Personal
2030,Sed-ICE-Avg-Private,2818.884019,Sedan,ICEV,ICEV-Avg,Personal
2031,Sed-ICE-Avg-Private,2810.964427,Sedan,ICEV,ICEV-Avg,Personal
2032,Sed-ICE-Avg-Private,2772.782554,Sedan,ICEV,ICEV-Avg,Personal
2033,Sed-ICE-Avg-Private,2757.54877,Sedan,ICEV,ICEV-Avg,Personal
2034,Sed-ICE-Avg-Private,2693.801995,Sedan,ICEV,ICEV-Avg,Personal
2035,Sed-ICE-Avg-Private,2834.119767,Sedan,ICEV,ICEV-Avg,Personal
2036,Sed-ICE-Avg-Private,2635.560099,Sedan,ICEV,ICEV-Avg,Personal
2037,Sed-ICE-Avg-Private,2420.355443,Sedan,ICEV,ICEV-Avg,Personal
2038,Sed-ICE-Avg-Private,2193.036961,Sedan,ICEV,ICEV-Avg,Personal
2039,Sed-ICE-Avg-Private,1966.762932,Sedan,ICEV,ICEV-Avg,Personal
2040,Sed-ICE-Avg-Private,1723.262433,Sedan,ICEV,ICEV-Avg,Personal
2041,Sed-ICE-Avg-Private,1539.830797,Sedan,ICEV,ICEV-Avg,Personal
2042,Sed-ICE-Avg-Private,1369.440365,Sedan,ICEV,ICEV-Avg,Personal
2043,Sed-ICE-Avg-Private,1205.875124,Sedan,ICEV,ICEV-Avg,Personal
2044,Sed-ICE-Avg-Private,1057.673872,Sedan,ICEV,ICEV-Avg,Personal
2045,Sed-ICE-Avg-Private,929.6279675,Sedan,ICEV,ICEV-Avg,Personal
2046,Sed-ICE-Avg-Private,802.3594021,Sedan,ICEV,ICEV-Avg,Personal
2047,Sed-ICE-Avg-Private,692.2811755,Sedan,ICEV,ICEV-Avg,Personal
2048,Sed-ICE-Avg-Private,596.2455842,Sedan,ICEV,ICEV-Avg,Personal
2049,Sed-ICE-Avg-Private,511.1337084,Sedan,ICEV,ICEV-Avg,Personal
2050,Sed-ICE-Avg-Private,436.8305527,Sedan,ICEV,ICEV-Avg,Personal
2021,Sed-ICE-Low-Private,321.5362395,Sedan,HEV,HEV,Personal
2022,Sed-ICE-Low-Private,295.1952412,Sedan,HEV,HEV,Personal
2023,Sed-ICE-Low-Private,344.2757673,Sedan,HEV,HEV,Personal
2024,Sed-ICE-Low-Private,371.7750946,Sedan,HEV,HEV,Personal
2025,Sed-ICE-Low-Private,1118.832992,Sedan,HEV,HEV,Personal
2026,Sed-ICE-Low-Private,1139.712278,Sedan,HEV,HEV,Personal
2027,Sed-ICE-Low-Private,1178.974225,Sedan,HEV,HEV,Personal
2028,Sed-ICE-Low-Private,1263.85148,Sedan,HEV,HEV,Personal
2029,Sed-ICE-Low-Private,1448.125017,Sedan,HEV,HEV,Personal
2030,Sed-ICE-Low-Private,1338.734661,Sedan,HEV,HEV,Personal
2031,Sed-ICE-Low-Private,1383.608461,Sedan,HEV,HEV,Personal
2032,Sed-ICE-Low-Private,1528.446057,Sedan,HEV,HEV,Personal
2033,Sed-ICE-Low-Private,1405.74198,Sedan,HEV,HEV,Personal
2034,Sed-ICE-Low-Private,1472.169452,Sedan,HEV,HEV,Personal
2035,Sed-ICE-Low-Private,616.0500542,Sedan,HEV,HEV,Personal
2036,Sed-ICE-Low-Private,585.243756,Sedan,HEV,HEV,Personal
2037,Sed-ICE-Low-Private,544.467856,Sedan,HEV,HEV,Personal
2038,Sed-ICE-Low-Private,495.6386523,Sedan,HEV,HEV,Personal
2039,Sed-ICE-Low-Private,441.2277017,Sedan,HEV,HEV,Personal
2040,Sed-ICE-Low-Private,388.1765914,Sedan,HEV,HEV,Personal
2041,Sed-ICE-Low-Private,344.9090299,Sedan,HEV,HEV,Personal
2042,Sed-ICE-Low-Private,304.16547,Sedan,HEV,HEV,Personal
2043,Sed-ICE-Low-Private,266.3690331,Sedan,HEV,HEV,Personal
2044,Sed-ICE-Low-Private,231.7373613,Sedan,HEV,HEV,Personal
2045,Sed-ICE-Low-Private,200.60445,Sedan,HEV,HEV,Personal
2046,Sed-ICE-Low-Private,172.4368467,Sedan,HEV,HEV,Personal
2047,Sed-ICE-Low-Private,147.5112679,Sedan,HEV,HEV,Personal
2048,Sed-ICE-Low-Private,125.6439464,Sedan,HEV,HEV,Personal
2049,Sed-ICE-Low-Private,106.5318346,Sedan,HEV,HEV,Personal
2050,Sed-ICE-Low-Private,90.02444514,Sedan,HEV,HEV,Personal
2021,Sed-PHEV-Private,109.8510621,Sedan,PHEV,PHEV,Personal
2022,Sed-PHEV-Private,141.5901347,Sedan,PHEV,PHEV,Personal
2023,Sed-PHEV-Private,139.7844166,Sedan,PHEV,PHEV,Personal
2024,Sed-PHEV-Private,194.519483,Sedan,PHEV,PHEV,Personal
2025,Sed-PHEV-Private,761.3802994,Sedan,PHEV,PHEV,Personal
2026,Sed-PHEV-Private,1042.152403,Sedan,PHEV,PHEV,Personal
2027,Sed-PHEV-Private,1265.918765,Sedan,PHEV,PHEV,Personal
2028,Sed-PHEV-Private,1538.515795,Sedan,PHEV,PHEV,Personal
2029,Sed-PHEV-Private,1390.929282,Sedan,PHEV,PHEV,Personal
2030,Sed-PHEV-Private,1724.945763,Sedan,PHEV,PHEV,Personal
2031,Sed-PHEV-Private,1660.813897,Sedan,PHEV,PHEV,Personal
2032,Sed-PHEV-Private,1264.14506,Sedan,PHEV,PHEV,Personal
2033,Sed-PHEV-Private,1298.037129,Sedan,PHEV,PHEV,Personal
2034,Sed-PHEV-Private,1018.444926,Sedan,PHEV,PHEV,Personal
2035,Sed-PHEV-Private,1072.420508,Sedan,PHEV,PHEV,Personal
2036,Sed-PHEV-Private,1095.022318,Sedan,PHEV,PHEV,Personal
2037,Sed-PHEV-Private,1118.959562,Sedan,PHEV,PHEV,Personal
2038,Sed-PHEV-Private,1134.75119,Sedan,PHEV,PHEV,Personal
2039,Sed-PHEV-Private,1138.918431,Sedan,PHEV,PHEV,Personal
2040,Sed-PHEV-Private,1138.359187,Sedan,PHEV,PHEV,Personal
2041,Sed-PHEV-Private,1132.862044,Sedan,PHEV,PHEV,Personal
2042,Sed-PHEV-Private,1129.229288,Sedan,PHEV,PHEV,Personal
2043,Sed-PHEV-Private,1108.169515,Sedan,PHEV,PHEV,Personal
2044,Sed-PHEV-Private,1089.98665,Sedan,PHEV,PHEV,Personal
2045,Sed-PHEV-Private,1064.241442,Sedan,PHEV,PHEV,Personal
2046,Sed-PHEV-Private,1031.754393,Sedan,PHEV,PHEV,Personal
2047,Sed-PHEV-Private,991.3427424,Sedan,PHEV,PHEV,Personal
2048,Sed-PHEV-Private,956.3117473,Sedan,PHEV,PHEV,Personal
2049,Sed-PHEV-Private,911.70712,Sedan,PHEV,PHEV,Personal
2050,Sed-PHEV-Private,865.9162356,Sedan,PHEV,PHEV,Personal
2021,Sed-BEV-Sht-Private,179.419621,Sedan,BEV,BEV-Sht,Personal
2022,Sed-BEV-Sht-Private,264.995496,Sedan,BEV,BEV-Sht,Personal
2023,Sed-BEV-Sht-Private,369.4776798,Sedan,BEV,BEV-Sht,Personal
2024,Sed-BEV-Sht-Private,453.1042077,Sedan,BEV,BEV-Sht,Personal
2025,Sed-BEV-Sht-Private,433.5915725,Sedan,BEV,BEV-Sht,Personal
2026,Sed-BEV-Sht-Private,493.6324112,Sedan,BEV,BEV-Sht,Personal
2027,Sed-BEV-Sht-Private,573.324969,Sedan,BEV,BEV-Sht,Personal
2028,Sed-BEV-Sht-Private,703.4992607,Sedan,BEV,BEV-Sht,Personal
2029,Sed-BEV-Sht-Private,754.5345453,Sedan,BEV,BEV-Sht,Personal
2030,Sed-BEV-Sht-Private,885.239781,Sedan,BEV,BEV-Sht,Personal
2031,Sed-BEV-Sht-Private,1096.087952,Sedan,BEV,BEV-Sht,Personal
2032,Sed-BEV-Sht-Private,1206.215226,Sedan,BEV,BEV-Sht,Personal
2033,Sed-BEV-Sht-Private,1446.371973,Sedan,BEV,BEV-Sht,Personal
2034,Sed-BEV-Sht-Private,1728.235969,Sedan,BEV,BEV-Sht,Personal
2035,Sed-BEV-Sht-Private,1934.14905,Sedan,BEV,BEV-Sht,Personal
2036,Sed-BEV-Sht-Private,2096.13763,Sedan,BEV,BEV-Sht,Personal
2037,Sed-BEV-Sht-Private,2241.016955,Sedan,BEV,BEV-Sht,Personal
2038,Sed-BEV-Sht-Private,2340.711689,Sedan,BEV,BEV-Sht,Personal
2039,Sed-BEV-Sht-Private,2405.382907,Sedan,BEV,BEV-Sht,Personal
2040,Sed-BEV-Sht-Private,2439.360897,Sedan,BEV,BEV-Sht,Personal
2041,Sed-BEV-Sht-Private,2523.350155,Sedan,BEV,BEV-Sht,Personal
2042,Sed-BEV-Sht-Private,2581.375441,Sedan,BEV,BEV-Sht,Personal
2043,Sed-BEV-Sht-Private,2615.373577,Sedan,BEV,BEV-Sht,Personal
2044,Sed-BEV-Sht-Private,2624.278701,Sedan,BEV,BEV-Sht,Personal
2045,Sed-BEV-Sht-Private,2611.694859,Sedan,BEV,BEV-Sht,Personal
2046,Sed-BEV-Sht-Private,2577.100781,Sedan,BEV,BEV-Sht,Personal
2047,Sed-BEV-Sht-Private,2523.923074,Sedan,BEV,BEV-Sht,Personal
2048,Sed-BEV-Sht-Private,2455.430876,Sedan,BEV,BEV-Sht,Personal
2049,Sed-BEV-Sht-Private,2373.120238,Sedan,BEV,BEV-Sht,Personal
2050,Sed-BEV-Sht-Private,2276.139557,Sedan,BEV,BEV-Sht,Personal
2021,Sed-BEV-Mid-Private,214.3595275,Sedan,BEV,BEV-Mid,Personal
2022,Sed-BEV-Mid-Private,204.9917541,Sedan,BEV,BEV-Mid,Personal
2023,Sed-BEV-Mid-Private,182.3448389,Sedan,BEV,BEV-Mid,Personal
2024,Sed-BEV-Mid-Private,192.7144213,Sedan,BEV,BEV-Mid,Personal
2025,Sed-BEV-Mid-Private,358.8009539,Sedan,BEV,BEV-Mid,Personal
2026,Sed-BEV-Mid-Private,356.0010778,Sedan,BEV,BEV-Mid,Personal
2027,Sed-BEV-Mid-Private,364.3398014,Sedan,BEV,BEV-Mid,Personal
2028,Sed-BEV-Mid-Private,324.7265,Sedan,BEV,BEV-Mid,Personal
2029,Sed-BEV-Mid-Private,367.8985652,Sedan,BEV,BEV-Mid,Personal
2030,Sed-BEV-Mid-Private,505.7551147,Sedan,BEV,BEV-Mid,Personal
2031,Sed-BEV-Mid-Private,461.4994838,Sedan,BEV,BEV-Mid,Personal
2032,Sed-BEV-Mid-Private,610.3344949,Sedan,BEV,BEV-Mid,Personal
2033,Sed-BEV-Mid-Private,748.2646023,Sedan,BEV,BEV-Mid,Personal
2034,Sed-BEV-Mid-Private,892.7547567,Sedan,BEV,BEV-Mid,Personal
2035,Sed-BEV-Mid-Private,1054.737788,Sedan,BEV,BEV-Mid,Personal
2036,Sed-BEV-Mid-Private,1212.290361,Sedan,BEV,BEV-Mid,Personal
2037,Sed-BEV-Mid-Private,1369.654941,Sedan,BEV,BEV-Mid,Personal
2038,Sed-BEV-Mid-Private,1534.742106,Sedan,BEV,BEV-Mid,Personal
2039,Sed-BEV-Mid-Private,1691.208817,Sedan,BEV,BEV-Mid,Personal
